ds,event,total,predicted_total,predicted_change,new_prediction
2022-03-19,[],166.0,125.52013317028009,0.0,125.52013317028009
2022-06-05,['summer_season'],257.0,208.15898949972257,0.0,208.15898949972257
2022-06-21,['summer_season'],294.0,288.701339721488,0.0,288.701339721488
2022-06-22,['summer_season'],273.0,188.62184625456078,0.0,188.62184625456078
2022-06-29,['summer_season'],332.0,295.1459353838719,0.0,295.1459353838719
2022-07-10,"['hajj_season', 'eid_al_adha', 'summer_season']",302.0,202.97138103276257,8.15616174568658,219.5260551672485
2022-07-13,"['hajj_season', 'summer_season']",259.0,287.9675899694717,16.95060884864062,336.7798497560541
2022-07-16,['summer_season'],121.0,157.249093306311,0.0,157.249093306311
2022-07-16,['summer_season'],301.0,284.702930866085,0.0,284.702930866085
2022-07-21,['summer_season'],279.0,289.64892579954113,0.0,289.64892579954113
2022-07-22,['summer_season'],268.0,290.3945787897974,0.0,290.3945787897974
2022-07-31,['summer_season'],303.0,288.6800439821398,0.0,288.6800439821398
2022-08-07,['summer_season'],162.0,153.08965534208983,0.0,153.08965534208983
2022-08-09,['summer_season'],254.0,285.72249483887924,0.0,285.72249483887924
2022-08-12,['summer_season'],234.0,285.90684408849853,0.0,285.90684408849853
2022-08-13,['summer_season'],166.0,155.4080105089988,0.0,155.4080105089988
2022-08-26,['summer_season'],208.0,288.91403685143786,0.0,288.91403685143786
2022-09-08,[],275.0,283.0789809086031,0.0,283.0789809086031
2022-09-12,[],239.0,285.0844816496924,0.0,285.0844816496924
2022-09-16,[],280.0,288.5720399149984,0.0,288.5720399149984
2022-09-17,[],311.0,284.32820516667624,0.0,284.32820516667624
2022-09-18,[],300.0,208.07208407426117,0.0,208.07208407426117
2022-09-19,[],333.0,284.0670399072722,0.0,284.0670399072722
2022-10-03,[],240.0,277.1981819514749,0.0,277.1981819514749
2022-10-12,[],358.0,187.44376185081586,0.0,187.44376185081586
2022-10-17,[],339.0,279.48231027652986,0.0,279.48231027652986
